Neighbourhood,Neighbourhood Id,Home Prices,Mid-Century Highrise Households,Mid-Century Highrise Population,Percent Mid-Century Highrise Households,Percent Mid-Century Highrise Population,Rent Bank Applicants,Social Housing Turnover,Social Housing Units,Social Housing Waiting List,PFR Community Space Use,PFR Permits Issued,PFR Program Free Registrations,PFR Program Registrations,TCHC Facility Amenities,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Female Fertility,Health Providers,Premature Mortality,Student Nutrition,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients,Linguistic Diversity Index,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu,City Beautification,City Grants Funding $,Diversity Index,Voter Turnout,Watermain Breaks
Yorkdale-Glen Park,31,421045,1130,2730,21.6,18.6,6,7.7,798,292,58,1299,15,1399,0,60.88,63.93,9,44.03409091,46,212.3,1385,246,0.236609421,747.84,150769,82979,692811.6556,1468,82,729,421045,24685,1502,0.772607586,5.9,14685,6750,7940,640,690,815,835,845,890,895,860,1050,1085,1030,850,765,610,690,755,690,700,5070,3450,2140,1690,13685,640,2950,50,70,810,85,625,605,120,60,60,156665,4.82349,37.9178,13
Englemount-Lawrence,32,577889,1465,2785,18,12.6,9,2.210526316,1688,379,787,3368,2470,3829,6,60.03,63.4,2,62.99516908,8,230.5,2895,379,0.20662549,0,0,0,924958.528,175,105,730,577889,3495,2733,0.647173537,3.6,22080,9675,12415,1675,1530,1550,1500,1320,1315,1470,1450,1380,1370,1365,1160,955,715,655,665,715,1305,6170,4050,4765,2820,20580,285,545,65,155,335,600,630,1900,45,45,43,116955,5.041456,32.3684,13
Clanton Park,33,605585,390,755,7,5.2,6,1.363636364,549,256,0,85,0,338,1,60.71,65.88,23,49.40312213,48,183.6,0,126,0.097684055,318.72,21580,332,1017592.787,357,130,740,605585,5011,734,0.680043956,4.2,14610,6750,7865,950,760,870,880,835,890,1115,1150,1155,1220,1055,860,770,480,450,400,390,400,3730,2100,2575,1725,13985,250,775,115,60,120,585,365,1705,25,15,27,163435,4.876642,32.933,11
Bathurst Manor,34,568877,1230,2625,20.3,17,6,0.5,385,232,271,1274,0,1169,2,61.46,64.64,9,42.58484426,41,161.7,0,165,1.311810051,0.72,116138,54508,1807970.566,244,105,745,568877,3370,1018,0.768958389,4.8,15435,7380,8050,850,710,750,885,925,1000,1120,1030,1170,1220,1190,925,840,565,505,540,560,655,4570,2805,2315,1805,14755,340,870,240,200,210,1695,475,840,30,15,43,19074,4.790258,32.4815,20
Westminster-Branson,35,372380,6355,15251,63.2,59.9,15,4.2,530,1077,2542,6575,273,7368,1,59.75,62.28,1,38.19444444,5,187.5,0,159,0.958620906,161.28,10920,168,1381709.352,83,45,730,372380,3027,2906,0.815904177,3.7,25445,11700,13755,1245,1080,1210,1500,1685,1765,1715,1720,1800,1855,1970,1625,1580,950,1075,895,865,925,7905,4710,3525,3165,24250,480,110,680,555,55,7435,630,2165,70,75,42,189000,4.531544,26.9938,2
Newtonbrook West,36,557468,2610,6375,30.3,27.7,1,2,261,670,1036,3185,13,2991,0,60.78,61.49,10,37.66478343,55,154.1,650,210,0.16749045,19.2,1300,20,1473787.509,483,98,737,557468,9091,2124,0.863726623,4.7,23050,10890,12165,1045,820,990,1255,1775,1890,1660,1630,1665,1965,1910,1450,1320,910,840,765,595,595,6455,3700,2850,3045,21890,1660,645,2015,1820,95,3260,385,1815,45,125,67,165431,4.875923,31.9066,22
Willowdale West,37,541247,1070,1630,16,10.9,1,9.25,527,176,3145,3522,243,3078,0,65.83,65.32,17,42.27093873,31,180.2,0,179,0.145828928,0,0,0,1169622.482,363,248,766,541247,7110,515,0.802465231,2.9,15005,7085,7920,670,505,495,565,1140,1345,1310,1080,1010,980,1045,1030,860,675,640,600,545,505,4860,2970,1665,1700,14535,2020,365,1175,1280,75,975,235,235,40,50,57,4700,4.958528,37.0513,12
Lansing-Westgate,38,646460,880,1765,14.7,12.1,3,0,0,169,2306,4818,175,14606,0,65.57,69.03,5,49.19653894,37,147.4,276,156,0.983552249,0,15001411,86,2818530.253,488,75,758,646460,12254,468,0.673235447,5.4,14640,6950,7695,845,725,745,795,965,1185,1290,1170,1175,1150,1035,855,750,515,405,360,330,360,3565,1960,2300,1755,14285,995,165,580,630,90,770,320,460,15,45,65,23060,4.964076,36.0309,10
Bedford Park-Nortown,39,1191040,1120,1795,12.9,7.7,5,2,236,141,1772,2618,17,371,1,70.12,71.82,13,47.47663551,50,114.9,150,211,0.091683395,264.96,18009.2,314,2323264.953,676,60,776,1191040,8187,484,0.438565178,5.5,23185,10720,12470,1465,1620,1630,1695,1240,965,1180,1485,1730,1890,1805,1570,1310,930,750,685,625,625,6535,3650,4705,2930,22655,430,410,110,245,90,300,335,1010,5,15,135,61153,4.598896,34.6094,29
St.Andrew-Windfields,40,1363202,955,2195,14.8,12.2,3,0,0,133,0,2533,0,1866,0,71.59,68.61,0,26.54867257,34,147.1,60,206,0.541326375,0,1599,1599,3122841.342,591,124,774,1363202,13023,606,0.692811985,7.3,17955,8610,9345,690,880,1155,1480,1290,965,775,940,1425,1650,1475,1335,1180,885,660,450,415,270,5200,2690,2745,2780,17485,2605,170,805,865,70,290,330,265,75,85,40,114745,4.946863,30.7276,18
Bridle Path-Sunnybrook-York Mills,41,1849084,0,0,0,0,0,0,0,24,0,2109,0,963,0,70.44,71.44,2,25.87346553,8,108,50,85,1.732820954,0,16709.4,7653,5509235.049,58,0,788,1849084,11756,37,0.454934522,8.8,8715,4180,4530,285,480,645,765,595,315,270,335,565,810,765,715,645,470,340,265,235,200,2870,1515,1425,1360,8505,615,110,50,260,30,130,65,110,5,0,26,106500,4.537839,35.0177,10
Banbury-Don Mills,42,613647,2570,4755,21.8,17.7,13,1.142857143,304,279,2150,9186,0,3318,0,67.07,67.37,10,39.10582909,65,156.1,300,305,1.279334149,254,4797521,36229,4258009.808,834,255,776,613647,25614,1030,0.701282364,10,26910,12485,14430,1180,1205,1325,1440,1280,1420,1500,1705,2275,2305,1970,1635,1610,1280,1225,1140,1215,1235,9340,6095,3685,2705,25780,3355,140,510,875,110,305,360,515,145,220,100,358634,5.069054,36.8457,12
Victoria Village,43,365107,2345,5410,32.2,31.5,15,7.083333333,891,459,26,2836,2483,1546,2,60.88,62.32,2,53.1655225,9,240.2,725,156,0.682855326,10.56,51070.2,38841,1541958.559,431,134,730,365107,7035,2593,0.751125721,4.7,17180,7960,9230,1030,835,870,920,980,1170,1210,1175,1310,1360,1220,1030,915,720,720,655,535,530,5135,3195,2735,1910,16140,605,200,100,510,85,90,350,540,465,385,45,24340,5.357632,36.3495,13
Flemingdon Park,44,204104,5120,13890,63.7,62.7,16,13.6,717,1141,3209,5621,6804,492,5,54.31,56.89,4,55.54624197,8,199.4,5660,89,0.763803897,0,0,0,1007142.635,185,203,721,204104,5088,4348,0.877982435,2.5,22165,10615,11555,1555,1420,1480,1465,1620,1675,1615,1595,1630,1705,1500,1160,1055,820,695,555,370,245,4945,2710,4455,3085,20915,1235,30,235,1360,60,325,550,1100,1030,1635,56,195515,5.265965,34.1503,2
Parkwoods-Donalda,45,553698,5355,12920,40.7,37.3,63,0.875,786,712,583,5332,4,2201,4,61.64,65.5,1,42.63013699,32,196.8,2320,331,0.852834331,0,9486,1964,3066863.368,209,441,731,553698,2802,3664,0.720621189,7.5,34620,16380,18230,2040,1920,2140,2350,2360,2255,2325,2440,2650,2935,2615,2040,1680,1320,1125,1015,845,580,8605,4880,6110,4720,33350,2255,290,535,1150,140,490,1095,965,475,610,52,0,5.420609,37.5207,10
Pleasant View,46,463859,1250,3095,22.6,19.2,9,0,0,205,1659,4405,0,2928,0,68.93,64.32,0,37.01996928,11,132,0,301,0.155828919,0,0,0,840921.3955,124,90,767,463859,1162,791,0.852900002,3,16145,7775,8360,740,705,825,950,1060,1090,855,1080,1385,1365,1200,1030,985,825,785,610,400,235,4875,2875,2275,2010,15555,5040,675,165,505,115,125,190,250,190,170,26,10000,4.54848,34.1945,15
Don Valley Village,47,478489,4345,10870,44.6,40.7,16,0.25,156,572,2625,6984,0,5761,4,64.43,64.27,0,44.13729555,58,146.1,1385,307,0.2393423,0,0,0,1379175.085,373,229,756,478489,5640,2137,0.86426814,4.1,26735,12670,14060,1505,1365,1290,1580,1795,1805,1935,2200,2295,2155,1790,1500,1410,1130,1020,850,610,530,7025,4125,4165,3370,25480,6655,95,615,1885,65,585,620,905,345,320,46,182483,5.01032,30.5458,8
